module	genome_name	db_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings	pathwise_copy_number	stepwise_copy_number	per_step_copy_numbers
M00008	bin1001414	R_mucilaginosa_A_i1P6Tongue	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00036 (K01057,K07404) K01690 K01625"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00036,K01057	207,205	K01057 is present in multiple modules: M00004/M00006/M00008,K00036 is present in multiple modules: M00004/M00006/M00008	0	0	1,1,0,0
M00308	bin1001414	R_mucilaginosa_A_i1P6Tongue	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K05308 K00874 K01625 (K00134 K00927,K00131,K18978)"	0.25	False	0.4	False	NA	No enzymes unique to module	NA	K00134,K00134,K00927	187,484,188	K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612	0	0	0,0,0,1
M00632	bin1001414	R_mucilaginosa_A_i1P6Tongue	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01785 K00849 K00965 K01784"	0.5	False	0.5	False	1.0	K01784	1	K00849,K01784	446,1541	K00849 is present in multiple modules: M00632/M00554	0	0	0,1,0,1
M00552	bin1001414	R_mucilaginosa_A_i1P6Tongue	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01684 K00883 K01631 K00134 K00927"	0.4	False	0.4	False	NA	No enzymes unique to module	NA	K00134,K00134,K00927	187,484,188	K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612	0	0	0,0,0,2,1
M00129	bin1001414	R_mucilaginosa_A_i1P6Tongue	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00963 K00012 K00699 K01195 K00002 K01053 K00103"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K00963	273	K00963 is present in multiple modules: M00129/M00854/M00549	0	0	1,0,0,0,0,0,0
M00114	bin1001414	R_mucilaginosa_A_i1P6Tongue	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01809 K17497 K00966 K10046 K14190 K10047 K17744 K00225"	0.125	False	0.125	False	1.0	K01809	1	K01809	1609	None	0	0	1,0,0,0,0,0,0,0
M00854	bin1001414	R_mucilaginosa_A_i1P6Tongue	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00963 (K00693+K00750,K16150,K16153,K13679,K20812)),(K00975 (K00703,K13679,K20812)) (K00700,K16149)"	0.0	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00963	273	K00963 is present in multiple modules: M00129/M00854/M00549	0	0	0,0
M00549	bin1001414	R_mucilaginosa_A_i1P6Tongue	Nucleotide sugar biosynthesis, glucose => UDP-glucose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00844,K00845,K25026,K12407,K00886) (K01835,K15779,K15778) (K00963,K12447)"	0.6666666666666666	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K00886,K00963	61,273	K00963 is present in multiple modules: M00129/M00854/M00549,K00886 is present in multiple modules: M00001/M00549	0	0	1,0,1
M00554	bin1001414	R_mucilaginosa_A_i1P6Tongue	Nucleotide sugar biosynthesis, galactose => UDP-galactose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00849 K00965"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00849	446	K00849 is present in multiple modules: M00632/M00554	0	0	1,0
M00892	bin1001414	R_mucilaginosa_A_i1P6Tongue	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00844,K12407,K00845) K01810 K00820 K00621 K01836 K00972"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00820,K01810	304,1530	K01810 is present in multiple modules: M00001/M00004/M00892/M00909,K00820 is present in multiple modules: M00892/M00909	0	0	0,1,1,0,0,0
M00909	bin1001414	R_mucilaginosa_A_i1P6Tongue	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00845,K25026) (K01810,K13810,K15916) K00820 K03431 K04042"	0.8	True	0.8	True	1.0	K03431,K04042	1,1	K00820,K01810,K03431,K04042	304,1530,308,1663	K01810 is present in multiple modules: M00001/M00004/M00892/M00909,K00820 is present in multiple modules: M00892/M00909	1	0	0,1,1,1,1
M00373	bin1001414	R_mucilaginosa_A_i1P6Tongue	Ethylmalonyl pathway	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00626 K00023 K17865 K14446 K14447 K14448 K14449 K08691 K14451 K01965+K01966 K05606 K01847"	0.0	False	0.041666666666666664	False	NA	No enzymes unique to module	NA	K01966	1223	K01966 is present in multiple modules: M00373/M00741/M00613	0	0	0,0,0,0,0,0,0,0,0,1,0,0
M00532	bin1001414	R_mucilaginosa_A_i1P6Tongue	Photorespiration	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K01601-K01602) K19269 K11517 K03781 K14272 K00600 K00830 (K15893,K15919) K15918 K00281+K00605+K00382+K02437"	0.2	False	0.2	False	1.0	K02437	1	K00281,K00382,K00600,K00605,K02437	355,665,898,354,25	K00600 is present in multiple modules: M00532/M00346/M00140/M00141,K00605 is present in multiple modules: M00532/M00621,K00281 is present in multiple modules: M00532/M00621,K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032	0	0	0,0,0,0,0,1,0,0,0,1
M00741	bin1001414	R_mucilaginosa_A_i1P6Tongue	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K01965+K01966,K11263+(K18472,K19312+K22568),K01964+K15036+K15037) K05606 (K01847,K01848+K01849)"	0.0	False	0.16666666666666666	False	NA	No enzymes unique to module	NA	K01966	1223	K01966 is present in multiple modules: M00373/M00741/M00613	0	0	1,0,0
M00165	bin1001414	R_mucilaginosa_A_i1P6Tongue	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules	Energy metabolism	Carbon fixation	"K00855 (K01601-K01602) K00927 (K05298,K00150,K00134) (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)"	0.7272727272727273	False	0.7272727272727273	False	NA	No enzymes unique to module	NA	K00134,K00134,K00615,K00927,K01624,K01808,K02446	187,484,209,188,502,1726,932	K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612,K01808 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612,K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K02446 is present in multiple modules: M00003/M00165/M00167/M00611/M00612,K00615 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612	0	0	0,0,1,2,1,1,1,1,0,1,1
M00166	bin1001414	R_mucilaginosa_A_i1P6Tongue	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	Pathway modules	Energy metabolism	Carbon fixation	"K00855 (K01601-K01602) K00927 (K05298,K00150,K00134)"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00134,K00134,K00927	187,484,188	K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612	0	0	0,0,1,2
M00167	bin1001414	R_mucilaginosa_A_i1P6Tongue	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	Pathway modules	Energy metabolism	Carbon fixation	"(K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)"	0.8571428571428571	True	0.8571428571428571	True	NA	No enzymes unique to module	NA	K00615,K01624,K01808,K02446	209,502,1726,932	K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612,K01808 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612,K00615 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612,K02446 is present in multiple modules: M00003/M00165/M00167/M00611/M00612	1	0	1,1,1,1,0,1,1
M00173	bin1001414	R_mucilaginosa_A_i1P6Tongue	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172,K03737) ((K01007,K01006) K01595,K01959+K01960,K01958) K00024 (K01676,K01679,K01677+K01678) (K00239+K00240-K00241-K00242,K00244+K00245-K00246-K00247,K18556+K18557+K18558+K18559+K18560) (K01902+K01903) (K00174+K00175-K00177-K00176) K00031 (K01681,K01682) (K15230+K15231,K15232+K15233 K15234)"	0.3	False	0.3	False	NA	No enzymes unique to module	NA	K00239,K00240,K00241,K00242,K01679,K01902,K01903	908,909,906,907,930,1181,1180	K00240 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K01679 is present in multiple modules: M00009/M00011/M00173/M00376/M00613/M00614,K01903 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K01902 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K00242 is present in multiple modules: M00009/M00011/M00173/M00149/M00613/M00614,K00241 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K00239 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614	0	0	0,0,0,1,1,1,0,0,0,0
M00376	bin1001414	R_mucilaginosa_A_i1P6Tongue	3-Hydroxypropionate bi-cycle	Pathway modules	Energy metabolism	Carbon fixation	"(K02160+K01961+K01962+K01963) K14468 K14469 K15052 K05606 (K01847,K01848+K01849) (K14471+K14472) (K00239+K00240+K00241) K01679 K08691 K14449 K14470 K09709"	0.15384615384615385	False	0.15384615384615385	False	NA	No enzymes unique to module	NA	K00239,K00240,K00241,K01679	908,909,906,930	K00240 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K01679 is present in multiple modules: M00009/M00011/M00173/M00376/M00613/M00614,K00239 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K00241 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614	0	0	0,0,0,0,0,0,0,1,1,0,0,0,0
M00374	bin1001414	R_mucilaginosa_A_i1P6Tongue	Dicarboxylate-hydroxybutyrate cycle	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172) K01007 K01595 K00024 (K01677+K01678) (K00239+K00240-K00241-K18860) (K01902+K01903) (K15038,K15017) K14465 (K14467,K18861) K14534 K15016 K00626"	0.15384615384615385	False	0.15384615384615385	False	NA	No enzymes unique to module	NA	K00239,K00240,K00241,K01902,K01903	908,909,906,1181,1180	K00240 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K01903 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K01902 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K00241 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K00239 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614	0	0	0,0,0,0,0,1,1,0,0,0,0,0,0
M00377	bin1001414	R_mucilaginosa_A_i1P6Tongue	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Pathway modules	Energy metabolism	Carbon fixation	"K00198 (K05299-K15022,K22015+K25123+K25124) K01938 K01491-K01500 K00297-K25007-K25008 K15023 K14138+K00197+K00194"	0.42857142857142855	False	0.42857142857142855	False	NA	No enzymes unique to module	NA	K00297,K01491,K01938	1444,899,546	K01491 is present in multiple modules: M00377/M00140/M00618,K00297 is present in multiple modules: M00377/M00618,K01938 is present in multiple modules: M00377/M00140/M00618	0	0	0,0,1,1,1,0,0
M00579	bin1001414	R_mucilaginosa_A_i1P6Tongue	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Pathway modules	Energy metabolism	Carbon fixation	"(K00625,K13788,K15024) K00925"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00925,K13788	1703,522	K00925 is present in multiple modules: M00579/M00357/M00617/M00618,K13788 is present in multiple modules: M00579/M00617/M00618	1	1	1,1
M00620	bin1001414	R_mucilaginosa_A_i1P6Tongue	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172) (K01959+K01960) K00024 (K01677+K01678) (K18209+K18210) (K01902+K01903) (K00174+K00175+K00176+K00177)"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K01902,K01903	1181,1180	K01902 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K01903 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614	0	0	0,0,0,0,0,1,0
M00357	bin1001414	R_mucilaginosa_A_i1P6Tongue	Methanogenesis, acetate => methane	Pathway modules	Energy metabolism	Methane metabolism	"((K00925 K00625),K01895) (K00193+K00197+K00194) (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K00925,K01895	1703,986	K01895 is present in multiple modules: M00357/M00617,K00925 is present in multiple modules: M00579/M00357/M00617/M00618	0	0	1,0,0,0,0
M00346	bin1001414	R_mucilaginosa_A_i1P6Tongue	Formaldehyde assimilation, serine pathway	Pathway modules	Energy metabolism	Methane metabolism	"K00600 K00830 K00018 K11529 K01689 K01595 K00024 K08692+K14067 K08691"	0.2222222222222222	False	0.2222222222222222	False	NA	No enzymes unique to module	NA	K00600,K01689	898,913	K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K00600 is present in multiple modules: M00532/M00346/M00140/M00141	0	0	1,0,0,0,1,0,0,0,0
M00345	bin1001414	R_mucilaginosa_A_i1P6Tongue	Formaldehyde assimilation, ribulose monophosphate pathway	Pathway modules	Energy metabolism	Methane metabolism	"(((K08093,K13812) K08094),K13831) (K00850,K16370,K21071) K01624"	0.6666666666666666	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K01624,K21071	502,385	K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612,K21071 is present in multiple modules: M00001/M00345	0	0	0,1,1
M00344	bin1001414	R_mucilaginosa_A_i1P6Tongue	Formaldehyde assimilation, xylulose monophosphate pathway	Pathway modules	Energy metabolism	Methane metabolism	"K17100 K00863 K01624 K03841"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K01624	502	K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612	0	0	0,0,1,0
M00530	bin1001414	R_mucilaginosa_A_i1P6Tongue	Dissimilatory nitrate reduction, nitrate => ammonia	Pathway modules	Energy metabolism	Nitrogen metabolism	"(K00370+K00371+K00374,K02567+K02568) (K00362+K00363,K03385+K15876)"	1.0	True	1.0	True	1.0	K00362,K00363	1,1	K00362,K00363,K00370,K00371,K00374	1370,1369,360,359,357	K00371 is present in multiple modules: M00530/M00529/M00804,K00374 is present in multiple modules: M00530/M00529,K00370 is present in multiple modules: M00530/M00529/M00804	1	1	1,1
M00529	bin1001414	R_mucilaginosa_A_i1P6Tongue	Denitrification, nitrate => nitrogen	Pathway modules	Energy metabolism	Nitrogen metabolism	"(K00370+K00371+K00374,K02567+K02568) (K00368,K15864) (K04561+K02305) K00376"	0.5	False	0.625	False	1.0	K04561	1	K00368,K00370,K00371,K00374,K04561	1437,360,359,357,175	K00370 is present in multiple modules: M00530/M00529/M00804,K00371 is present in multiple modules: M00530/M00529/M00804,K00374 is present in multiple modules: M00530/M00529,K00368 is present in multiple modules: M00529/M00973	0	0	1,1,0,0
M00804	bin1001414	R_mucilaginosa_A_i1P6Tongue	Complete nitrification, comammox, ammonia => nitrite => nitrate	Pathway modules	Energy metabolism	Nitrogen metabolism	"K10944+K10945+K10946 K10535 K00370+K00371"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00370,K00371	360,359	K00371 is present in multiple modules: M00530/M00529/M00804,K00370 is present in multiple modules: M00530/M00529/M00804	0	0	0,0,1
M00973	bin1001414	R_mucilaginosa_A_i1P6Tongue	Anammox, nitrite + ammonia => nitrogen	Pathway modules	Energy metabolism	Nitrogen metabolism	"(K00368,K15864) (K20932+K20933+K20934) K20935"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00368	1437	K00368 is present in multiple modules: M00529/M00973	0	0	1,0,0
M00149	bin1001414	R_mucilaginosa_A_i1P6Tongue	Succinate dehydrogenase, prokaryotes	Pathway modules	Energy metabolism	ATP synthesis	"K00241+(K00242,K18859,K18860)+K00239+K00240"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00239,K00240,K00241,K00242	908,909,906,907	K00240 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K00239 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K00241 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K00242 is present in multiple modules: M00009/M00011/M00173/M00149/M00613/M00614	1	2	2
