module	genome_name	db_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings	pathwise_copy_number	stepwise_copy_number	per_step_copy_numbers
M00005	mitisATCC6249	mitisATCC6249	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00948"	1.0	True	1.0	True	1.0	K00948	2	K00948,K00948	12,1089	None	2	2	2
M00008	mitisATCC6249	mitisATCC6249	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00036 (K01057,K07404) K01690 K01625"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00036,K07404	1118,928	K00036 is present in multiple modules: M00004/M00006/M00008,K07404 is present in multiple modules: M00004/M00006/M00008	0	0	1,1,0,0
M00308	mitisATCC6249	mitisATCC6249	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K05308 K00874 K01625 (K00134 K00927,K00131,K18978)"	0.25	False	0.4	False	1.0	K00131	1	K00131,K00134,K00927	1070,1718,1607	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612	0	0	0,0,0,2
M00632	mitisATCC6249	mitisATCC6249	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01785 K00849 K00965 K01784"	0.75	True	0.75	True	1.0	K01784,K01785	1,1	K00849,K01784,K01785	1513,1395,50	K00849 is present in multiple modules: M00632/M00554	1	0	1,1,0,1
M00552	mitisATCC6249	mitisATCC6249	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01684 K00883 K01631 K00134 K00927"	0.4	False	0.4	False	NA	No enzymes unique to module	NA	K00134,K00927	1718,1607	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612	0	0	0,0,0,1,1
M00129	mitisATCC6249	mitisATCC6249	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00963 K00012 K00699 K01195 K00002 K01053 K00103"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K00963	113	K00963 is present in multiple modules: M00129/M00854/M00549	0	0	1,0,0,0,0,0,0
M00114	mitisATCC6249	mitisATCC6249	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01809 K17497 K00966 K10046 K14190 K10047 K17744 K00225"	0.125	False	0.125	False	1.0	K01809	1	K01809	687	None	0	0	1,0,0,0,0,0,0,0
M00854	mitisATCC6249	mitisATCC6249	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00963 (K00693+K00750,K16150,K16153,K13679,K20812)),(K00975 (K00703,K13679,K20812)) (K00700,K16149)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00700,K00703,K00963,K00975,K00975	1069,1066,113,1068,1067	K00700 is present in multiple modules: M00854/M00565,K00963 is present in multiple modules: M00129/M00854/M00549,K00975 is present in multiple modules: M00854/M00565,K00703 is present in multiple modules: M00854/M00565	1	1	1,1
M00855	mitisATCC6249	mitisATCC6249	Glycogen degradation, glycogen => glucose-6P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00688,K16153) (K01196,((K00705,K22451) (K02438,K01200))) (K15779,K01835,K15778)"	1.0	True	1.0	True	1.0	K00688,K00705,K01200	1,1,2	K00688,K00705,K01200,K01200,K01835	103,102,366,1071,1077	K01835 is present in multiple modules: M00855/M00549	1	1	1,1,1
M00565	mitisATCC6249	mitisATCC6249	Trehalose biosynthesis, D-glucose 1P => trehalose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00975 K00703 (K00700,K16149) K01214 K06044 K01236"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00700,K00703,K00975,K00975	1069,1066,1068,1067	K00700 is present in multiple modules: M00854/M00565,K00975 is present in multiple modules: M00854/M00565,K00703 is present in multiple modules: M00854/M00565	0	0	2,1,1,0,0,0
M00549	mitisATCC6249	mitisATCC6249	Nucleotide sugar biosynthesis, glucose => UDP-glucose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00844,K00845,K25026,K12407,K00886) (K01835,K15779,K15778) (K00963,K12447)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00963,K01835,K25026	113,1077,1315	K01835 is present in multiple modules: M00855/M00549,K25026 is present in multiple modules: M00001/M00549/M00909,K00963 is present in multiple modules: M00129/M00854/M00549	1	1	1,1,1
M00554	mitisATCC6249	mitisATCC6249	Nucleotide sugar biosynthesis, galactose => UDP-galactose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00849 K00965"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00849	1513	K00849 is present in multiple modules: M00632/M00554	0	0	1,0
M00892	mitisATCC6249	mitisATCC6249	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00844,K12407,K00845) K01810 K00820 K00621 K01836 K00972"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00820,K01810	356,118	K01810 is present in multiple modules: M00001/M00004/M00892/M00909,K00820 is present in multiple modules: M00892/M00909	0	0	0,1,1,0,0,0
M00909	mitisATCC6249	mitisATCC6249	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00845,K25026) (K01810,K13810,K15916) K00820 K03431 K04042"	1.0	True	1.0	True	1.0	K03431,K04042	1,1	K00820,K01810,K03431,K04042,K25026	356,118,1379,940,1315	K25026 is present in multiple modules: M00001/M00549/M00909,K01810 is present in multiple modules: M00001/M00004/M00892/M00909,K00820 is present in multiple modules: M00892/M00909	1	1	1,1,1,1,1
M00373	mitisATCC6249	mitisATCC6249	Ethylmalonyl pathway	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00626 K00023 K17865 K14446 K14447 K14448 K14449 K08691 K14451 K01965+K01966 K05606 K01847"	0.08333333333333333	False	0.08333333333333333	False	NA	No enzymes unique to module	NA	K00626	167	K00626 is present in multiple modules: M00373/M00375/M00374/M00088/M00957/M00095/M00849	0	0	1,0,0,0,0,0,0,0,0,0,0,0
M00532	mitisATCC6249	mitisATCC6249	Photorespiration	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K01601-K01602) K19269 K11517 K03781 K14272 K00600 K00830 (K15893,K15919) K15918 K00281+K00605+K00382+K02437"	0.1	False	0.125	False	NA	No enzymes unique to module	NA	K00382,K00600	1045,1005	K00600 is present in multiple modules: M00532/M00346/M00140/M00141,K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032	0	0	0,0,0,0,0,1,0,0,0,0
M00131	mitisATCC6249	mitisATCC6249	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01106 K01107 K01109 K01092"	0.25	False	0.25	False	1.0	K01092	1	K01092	1283	None	0	0	0,0,0,1
M00165	mitisATCC6249	mitisATCC6249	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules	Energy metabolism	Carbon fixation	"K00855 (K01601-K01602) K00927 (K05298,K00150,K00134) (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)"	0.6363636363636364	False	0.6363636363636364	False	NA	No enzymes unique to module	NA	K00134,K00615,K00927,K01624,K01807	1718,1727,1607,647,851	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K01807 is present in multiple modules: M00004/M00007/M00580/M00165/M00167/M00611/M00612,K00615 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612	0	0	0,0,1,1,1,0,1,1,0,1,1
M00166	mitisATCC6249	mitisATCC6249	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	Pathway modules	Energy metabolism	Carbon fixation	"K00855 (K01601-K01602) K00927 (K05298,K00150,K00134)"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00134,K00927	1718,1607	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612	0	0	0,0,1,1
M00167	mitisATCC6249	mitisATCC6249	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	Pathway modules	Energy metabolism	Carbon fixation	"(K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)"	0.7142857142857143	False	0.7142857142857143	False	NA	No enzymes unique to module	NA	K00615,K01624,K01807	1727,647,851	K01807 is present in multiple modules: M00004/M00007/M00580/M00165/M00167/M00611/M00612,K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612,K00615 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612	0	0	1,0,1,1,0,1,1
M00168	mitisATCC6249	mitisATCC6249	CAM (Crassulacean acid metabolism), dark	Pathway modules	Energy metabolism	Carbon fixation	"K01595 (K00025,K00026,K00024)"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K01595	874	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614	0	0	1,0
M00172	mitisATCC6249	mitisATCC6249	C4-dicarboxylic acid cycle, NADP - malic enzyme type	Pathway modules	Energy metabolism	Carbon fixation	"K01595 K00051 K00029 K01006"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K01595	874	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614	0	0	1,0,0,0
M00171	mitisATCC6249	mitisATCC6249	C4-dicarboxylic acid cycle, NAD - malic enzyme type	Pathway modules	Energy metabolism	Carbon fixation	"K01595 K14454 K14455 (K00025,K00026) K00028 (K00814,K14272) K01006"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K01595	874	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614	0	0	1,0,0,0,0,0,0
M00170	mitisATCC6249	mitisATCC6249	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	Pathway modules	Energy metabolism	Carbon fixation	"K01595 K14454 K14455 K01610"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K01595	874	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614	0	0	1,0,0,0
M00173	mitisATCC6249	mitisATCC6249	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172,K03737) ((K01007,K01006) K01595,K01959+K01960,K01958) K00024 (K01676,K01679,K01677+K01678) (K00239+K00240-K00241-K00242,K00244+K00245-K00246-K00247,K18556+K18557+K18558+K18559+K18560) (K01902+K01903) (K00174+K00175-K00177-K00176) K00031 (K01681,K01682) (K15230+K15231,K15232+K15233 K15234)"	0.0	False	0.09090909090909091	False	NA	No enzymes unique to module	NA	K01595	874	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614	0	0	0,0,0,0,0,0,0,0,0,0
M00376	mitisATCC6249	mitisATCC6249	3-Hydroxypropionate bi-cycle	Pathway modules	Energy metabolism	Carbon fixation	"(K02160+K01961+K01962+K01963) K14468 K14469 K15052 K05606 (K01847,K01848+K01849) (K14471+K14472) (K00239+K00240+K00241) K01679 K08691 K14449 K14470 K09709"	0.0	False	0.057692307692307696	False	NA	No enzymes unique to module	NA	K01961,K01963,K02160	482,483,480	K02160 is present in multiple modules: M00376/M00082/M00613,K01963 is present in multiple modules: M00376/M00082/M00613,K01961 is present in multiple modules: M00376/M00082/M00613	0	0	1,0,0,0,0,0,0,0,0,0,0,0,0
M00375	mitisATCC6249	mitisATCC6249	Hydroxypropionate-hydroxybutylate cycle	Pathway modules	Energy metabolism	Carbon fixation	"(K01964+K15037+K15036) K15017 K15039 K15018 K15019 K15020 K05606 (K01848+K01849) (K15038,K15017) K14465 (K14466,K18861) K14534 K15016 K00626"	0.07142857142857142	False	0.07142857142857142	False	NA	No enzymes unique to module	NA	K00626	167	K00626 is present in multiple modules: M00373/M00375/M00374/M00088/M00957/M00095/M00849	0	0	0,0,0,0,0,0,0,0,0,0,0,0,0,1
M00374	mitisATCC6249	mitisATCC6249	Dicarboxylate-hydroxybutyrate cycle	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172) K01007 K01595 K00024 (K01677+K01678) (K00239+K00240-K00241-K18860) (K01902+K01903) (K15038,K15017) K14465 (K14467,K18861) K14534 K15016 K00626"	0.15384615384615385	False	0.15384615384615385	False	NA	No enzymes unique to module	NA	K00626,K01595	167,874	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614,K00626 is present in multiple modules: M00373/M00375/M00374/M00088/M00957/M00095/M00849	0	0	0,0,1,0,0,0,0,0,0,0,0,0,1
M00377	mitisATCC6249	mitisATCC6249	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Pathway modules	Energy metabolism	Carbon fixation	"K00198 (K05299-K15022,K22015+K25123+K25124) K01938 K01491-K01500 K00297-K25007-K25008 K15023 K14138+K00197+K00194"	0.42857142857142855	False	0.42857142857142855	False	NA	No enzymes unique to module	NA	K00297,K01491,K01938	561,718,1097	K01938 is present in multiple modules: M00377/M00140/M00618,K01491 is present in multiple modules: M00377/M00140/M00618,K00297 is present in multiple modules: M00377/M00618	0	0	0,0,1,1,1,0,0
M00579	mitisATCC6249	mitisATCC6249	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Pathway modules	Energy metabolism	Carbon fixation	"(K00625,K13788,K15024) K00925"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00625,K00925	1084,1732	K00625 is present in multiple modules: M00579/M00357/M00617/M00618,K00925 is present in multiple modules: M00579/M00357/M00617/M00618	1	1	1,1
M00357	mitisATCC6249	mitisATCC6249	Methanogenesis, acetate => methane	Pathway modules	Energy metabolism	Methane metabolism	"((K00925 K00625),K01895) (K00193+K00197+K00194) (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))"	0.2	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00625,K00925	1084,1732	K00625 is present in multiple modules: M00579/M00357/M00617/M00618,K00925 is present in multiple modules: M00579/M00357/M00617/M00618	0	0	1,0,0,0,0
M00346	mitisATCC6249	mitisATCC6249	Formaldehyde assimilation, serine pathway	Pathway modules	Energy metabolism	Methane metabolism	"K00600 K00830 K00018 K11529 K01689 K01595 K00024 K08692+K14067 K08691"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00600,K01595,K01689	1005,874,1062	K01595 is present in multiple modules: M00168/M00172/M00171/M00170/M00173/M00374/M00346/M00614,K00600 is present in multiple modules: M00532/M00346/M00140/M00141,K01689 is present in multiple modules: M00001/M00002/M00003/M00346	0	0	1,0,0,0,1,1,0,0,0
M00345	mitisATCC6249	mitisATCC6249	Formaldehyde assimilation, ribulose monophosphate pathway	Pathway modules	Energy metabolism	Methane metabolism	"(((K08093,K13812) K08094),K13831) (K00850,K16370,K21071) K01624"	0.6666666666666666	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K00850,K01624	891,647	K00850 is present in multiple modules: M00001/M00345,K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612	0	0	0,1,1
M00344	mitisATCC6249	mitisATCC6249	Formaldehyde assimilation, xylulose monophosphate pathway	Pathway modules	Energy metabolism	Methane metabolism	"K17100 K00863 K01624 K03841"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K01624	647	K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612	0	0	0,0,1,0
M00157	mitisATCC6249	mitisATCC6249	F-type ATPase, prokaryotes and chloroplasts	Pathway modules	Energy metabolism	ATP synthesis	"K02111+K02112+K02113+K02114+K02115+K02108+K02109+K02110"	1.0	True	1.0	True	1.0	K02108,K02109,K02110,K02111,K02112,K02113,K02114,K02115	1,1,1,1,1,1,1,1	K02108,K02109,K02110,K02111,K02112,K02113,K02114,K02115	921,922,920,924,926,923,927,925	None	1	1	1
M00082	mitisATCC6249	mitisATCC6249	Fatty acid biosynthesis, initiation	Pathway modules	Lipid metabolism	Fatty acid metabolism	"(K11262,(K02160+K01961,K11263)+(K01962+K01963,K18472)) (K00665,K00667+K00668,K11533,(K00645 (K00648,K18473)))"	0.5	False	0.9166666666666666	True	1.0	K00648	1	K00645,K00648,K01961,K01963,K02160	477,474,482,483,480	K02160 is present in multiple modules: M00376/M00082/M00613,K01963 is present in multiple modules: M00376/M00082/M00613,K01961 is present in multiple modules: M00376/M00082/M00613,K00645 is present in multiple modules: M00082/M00873/M00874	0	1	1,1
M00083	mitisATCC6249	mitisATCC6249	Fatty acid biosynthesis, elongation	Pathway modules	Lipid metabolism	Fatty acid metabolism	"K00665,(K00667 K00668),K11533,((K00647,K09458) K00059 (K02372,K01716,K16363) (K00208,K02371,K10780,K00209))"	1.0	True	1.0	True	1.0	K02371	2	K00059,K02371,K02371,K02372,K09458	478,476,174,481,479	K02372 is present in multiple modules: M00083/M00572,K09458 is present in multiple modules: M00083/M00873/M00874/M00572,K00059 is present in multiple modules: M00083/M00874/M00572	1	1	1
M00873	mitisATCC6249	mitisATCC6249	Fatty acid biosynthesis in mitochondria, animals	Pathway modules	Lipid metabolism	Fatty acid metabolism	"K18660 K03955+K00645 K09458 K11539+K13370 K22540 K07512"	0.16666666666666666	False	0.25	False	NA	No enzymes unique to module	NA	K00645,K09458	477,479	K09458 is present in multiple modules: M00083/M00873/M00874/M00572,K00645 is present in multiple modules: M00082/M00873/M00874	0	0	0,1,1,0,0,0
M00874	mitisATCC6249	mitisATCC6249	Fatty acid biosynthesis in mitochondria, fungi	Pathway modules	Lipid metabolism	Fatty acid metabolism	"K11262 K03955+K00645 K09458 K00059 K22541 K07512"	0.3333333333333333	False	0.4166666666666667	False	NA	No enzymes unique to module	NA	K00059,K00645,K09458	478,477,479	K09458 is present in multiple modules: M00083/M00873/M00874/M00572,K00645 is present in multiple modules: M00082/M00873/M00874,K00059 is present in multiple modules: M00083/M00874/M00572	0	0	0,1,1,1,0,0
M00087	mitisATCC6249	mitisATCC6249	beta-Oxidation	Pathway modules	Lipid metabolism	Fatty acid metabolism	"(K00232,K00249,K00255,K06445,K09479) (((K01692,K07511,K13767) (K00022,K07516)),K01825,K01782,K07514,K07515,K10527) (K00632,K07508,K07509,K07513)"	0.0	False	0.25	False	NA	No enzymes unique to module	NA	K01692	168	K01692 is present in multiple modules: M00087/M00957/M00878	0	0	0,0,0
