Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	True_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCA/018/376/995/GCA_018376995.1_genomic.fna.gz	1.8878	1.6970	99.28	18.815	NA-NA	HIGH	NA-NA	12	13.239	7401/9269	99.28	0	JAHAAF010000001.1 MAG: Veillonella sp. isolate L3_063_023G1_dasL3_063_023G1_maxbin2.maxbin.001 L3_063_023G1_scaffold_0, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/030/371/665/GCF_030371665.1_genomic.fna.gz	1.8002	2.2797	99.63	17.941	NA-NA	HIGH	NA-NA	13	12.624	11569/12960	99.63	112	NZ_JAUDBR010000001.1 Actinomyces viscosus strain ET81 ET81_scaffold_1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/030/546/305/GCF_030546305.1_genomic.fna.gz	1.7235	1.5317	96.91	17.177	NA-NA	HIGH	NA-NA	11	12.086	3429/9083	96.91	2539	NZ_JAUONR010000010.1 Streptococcus sp. GP0011 NODE_10_length_75450_cov_194.027848, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/223/335/GCF_000223335.1_genomic.fna.gz	1.5356	1.2093	97.30	15.304	NA-NA	HIGH	NA-NA	10	10.769	3434/8026	97.30	2396	NZ_AFUQ01000016.1 Streptococcus infantis X ctg1128491769477, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/194/945/GCF_000194945.1_genomic.fna.gz	1.4829	1.4245	99.17	14.779	NA-NA	HIGH	NA-NA	9	10.399	7564/9808	99.17	4	NZ_GL878507.1 Streptococcus sanguinis SK1 = NCTC 7863 strain ATCC 10556 SCAFFOLD1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/900/637/555/GCF_900637555.1_genomic.fna.gz	1.4740	1.9694	98.76	14.690	NA-NA	HIGH	NA-NA	10	10.336	9214/13549	98.76	446	NZ_LR134378.1 Lautropia mirabilis strain NCTC12852 chromosome 1, complete sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCA/916/439/125/GCA_916439125.1_genomic.fna.gz	1.4217	1.4471	95.37	14.168	NA-NA	HIGH	NA-NA	10	9.969	2355/10222	95.37	3184	CAKAHQ010000001.1 MAG TPA_asm: uncultured Actinomyces sp. isolate DRR214959_bin.8_metaWRAP_v1.1_MAG genome assembly, contig: BNJS01000723, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/013/343/115/GCF_013343115.1_genomic.fna.gz	1.3501	1.3415	97.18	13.455	NA-NA	HIGH	NA-NA	8	9.468	4124/10002	97.18	2992	NZ_CP054570.1 Streptococcus sanguinis strain FDAARGOS_770 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/195/595/GCF_000195595.1_genomic.fna.gz	1.3387	1.7679	99.36	13.342	NA-NA	HIGH	NA-NA	9	9.388	11115/13543	99.36	1080	NZ_GL882504.1 Actinomyces sp. oral taxon 170 str. F0386 Scfld0, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/014/306/175/GCF_014306175.1_genomic.fna.gz	1.3028	1.1203	96.69	12.984	NA-NA	HIGH	NA-NA	8	9.136	3116/8846	96.69	3854	NZ_JACRWI010000001.1 Veillonella hominis strain NSJ-78 M12_ctg0001, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/006/546/825/GCF_006546825.1_genomic.fna.gz	1.2403	1.6556	96.60	12.361	NA-NA	HIGH	NA-NA	7	8.698	4716/13788	96.60	5592	NZ_VICC01000001.1 Actinomyces oris strain CCUG 34288 CCUG34288T_0000001, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/002/847/525/GCF_002847525.1_genomic.fna.gz	1.2309	1.2141	96.56	12.268	NA-NA	HIGH	NA-NA	8	8.632	3378/9992	96.56	2478	NZ_PKKM01000001.1 Schaalia odontolytica strain UMB0018 ERR1203605.17957_1_17.1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/019/929/665/GCF_019929665.1_genomic.fna.gz	1.1736	0.9045	95.91	11.696	NA-NA	HIGH	NA-NA	8	8.230	2200/8023	95.91	3615	NZ_JAHZPZ010000001.1 Streptococcus infantis strain STn400 Sinfantis_STn400_NinaOddballs_Sia_NO_1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCA/905/369/855/GCA_905369855.1_genomic.fna.gz	1.0901	0.7327	95.92	10.864	NA-NA	HIGH	NA-NA	7	7.644	1890/6873	95.92	2695	CAJPJN010000001.1 MAG: Streptococcus oralis isolate DRR046084-mag-bin.1 genome assembly, contig: DRR046084-mag-bin.1_2, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/946/190/045/GCF_946190045.1_genomic.fna.gz	1.0534	0.8762	97.35	10.498	NA-NA	HIGH	NA-NA	7	7.387	3635/8370	97.35	2074	NZ_CAMHYY010000001.1 Streptococcus mitis isolate Streptococcus mitis NODE_1_length_333422_cov_157.319918, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/019/929/015/GCF_019929015.1_genomic.fna.gz	1.0326	1.0416	95.25	10.291	NA-NA	HIGH	NA-NA	6	7.241	2286/10323	95.25	4492	NZ_JAHZOU010000001.1 Streptococcus sanguinis strain MA4_6 Ssanguinis_MA4_6_Nina_Sia_YES_0, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/018/366/045/GCF_018366045.1_genomic.fna.gz	1.0209	0.9218	95.48	10.175	NA-NA	HIGH	NA-NA	6	7.159	2201/9233	95.48	4907	NZ_JAGZIU010000008.1 MAG: Veillonella parvula isolate L3_128_070G1_dasL3_128_070G1_concoct_9 L3_128_070G1_scaffold_112, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/006/546/835/GCF_006546835.1_genomic.fna.gz	1.0076	1.4211	98.72	10.042	NA-NA	HIGH	NA-NA	7	7.066	9714/14471	98.72	2119	NZ_VICB01000001.1 Actinomyces johnsonii strain CCUG 34287 CCUG34287T_0000001, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/001/746/855/GCF_001746855.1_genomic.fna.gz	1.0075	0.9088	99.02	10.041	NA-NA	HIGH	NA-NA	7	7.065	6628/8988	99.02	203	NZ_CP017298.1 Pauljensenia hongkongensis strain HKU8 chromosome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/015/553/625/GCF_015553625.1_genomic.fna.gz	0.9722	0.8267	98.82	9.689	NA-NA	HIGH	NA-NA	6	6.818	5981/8643	98.82	366	NZ_JADNGY010000010.1 Streptococcus australis strain D40t1_170626_G7 NODE_10_length_80741_cov_28.857, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/014/647/755/GCF_014647755.1_genomic.fna.gz	0.9577	0.8741	97.95	9.545	NA-NA	HIGH	NA-NA	6	6.716	4913/9350	97.95	97	NZ_BMPU01000001.1 Porphyromonas pasteri strain JCM 30531 sequence1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/009/730/335/GCF_009730335.1_genomic.fna.gz	0.9395	0.9627	97.00	9.363	NA-NA	HIGH	NA-NA	6	6.588	3999/10296	97.00	2274	NZ_CP046315.1 Schaalia odontolytica strain FDAARGOS_732 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/003/943/515/GCF_003943515.1_genomic.fna.gz	0.9260	0.7816	98.81	9.229	NA-NA	HIGH	NA-NA	6	6.494	5898/8539	98.81	420	NZ_RJPT01000001.1 Streptococcus cristatus strain BCC41 D8791_contig001, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCA/902/466/275/GCA_902466275.1_genomic.fna.gz	0.9034	0.4752	95.32	9.004	NA-NA	HIGH	NA-NA	5	6.335	1237/5474	95.32	2954	CABQQJ010000001.1 MAG TPA_asm: uncultured Veillonella sp. isolate MGYG-HGUT-00818 genome assembly, contig: GUT_GENOME034386_1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/222/765/GCF_000222765.1_genomic.fna.gz	0.9024	0.7581	96.65	8.993	NA-NA	HIGH	NA-NA	6	6.328	2917/8389	96.65	2683	NZ_AFUE01000010.1 Streptococcus cristatus ATCC 51100 ctg1129913971917, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/015/546/995/GCF_015546995.1_genomic.fna.gz	0.8813	0.6379	95.65	8.784	NA-NA	HIGH	NA-NA	5	6.180	1862/7392	95.65	3366	NZ_JADMUH010000010.1 Streptococcus infantis strain D6t1_180914_B1 NODE_10_length_64276_cov_32.8629, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/900/637/025/GCF_900637025.1_genomic.fna.gz	0.8762	0.7129	95.04	8.732	NA-NA	HIGH	NA-NA	6	6.144	1697/8203	95.04	3610	NZ_LR134336.1 Streptococcus oralis ATCC 35037 strain NCTC 11427 chromosome 1, complete sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/002/959/775/GCF_002959775.1_genomic.fna.gz	0.8631	0.7952	98.02	8.602	NA-NA	HIGH	NA-NA	5	6.053	4962/9222	98.02	1157	NZ_PPCX01000010.1 Veillonella rogosae JCM 15642 Contig_10_len_561265, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/002/860/905/GCF_002860905.1_genomic.fna.gz	0.8626	0.7531	95.84	8.597	NA-NA	HIGH	NA-NA	5	6.049	2395/8928	95.84	3389	NZ_PKIG01000001.1 Streptococcus oralis subsp. dentisani strain UMB0832 .16933_8_21.1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/009/717/815/GCF_009717815.1_genomic.fna.gz	0.8608	0.7643	98.01	8.579	NA-NA	HIGH	NA-NA	5	6.037	4832/9008	98.01	1050	NZ_WMZH01000010.1 Streptococcus parasanguinis strain BIOML-A3 scaffold10_size1816, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/019/334/725/GCF_019334725.1_genomic.fna.gz	0.8457	0.8138	97.60	8.428	NA-NA	HIGH	NA-NA	5	5.930	4430/9408	97.60	326	NZ_CP079818.1 Neisseria perflava strain LPB0400 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/002/096/675/GCF_002096675.1_genomic.fna.gz	0.8449	0.6528	97.88	8.421	NA-NA	HIGH	NA-NA	6	5.925	4025/7824	97.88	1451	NZ_NCUZ01000020.1 Streptococcus oralis subsp. dentisani strain RH_55407_11 s_oralis_RH_55407_11_ID_1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/479/335/GCF_000479335.1_genomic.fna.gz	0.8386	0.7039	95.75	8.358	NA-NA	HIGH	NA-NA	5	5.881	2154/8289	95.75	3430	NC_022584.1 Streptococcus ilei, complete sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/024/205/745/GCF_024205745.1_genomic.fna.gz	0.8285	0.7726	95.10	8.257	NA-NA	HIGH	NA-NA	5	5.810	1938/9199	95.10	2504	NZ_CP073117.1 Neisseria subflava strain HP0015 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/002/355/935/GCF_002355935.1_genomic.fna.gz	0.8172	0.8911	99.21	8.145	NA-NA	HIGH	NA-NA	5	5.731	8665/11082	99.21	9	NZ_AP017895.1 Rothia aeria strain JCM 11412 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/009/738/225/GCF_009738225.1_genomic.fna.gz	0.8084	0.8319	95.58	8.057	NA-NA	HIGH	NA-NA	5	5.669	2513/10219	95.58	4062	NZ_CP018187.1 Streptococcus salivarius strain ICDC2 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/001/072/465/GCF_001072465.1_genomic.fna.gz	0.7927	0.8205	98.48	7.901	NA-NA	HIGH	NA-NA	4	5.559	6407/10285	98.48	384	NZ_JVKM01000001.1 Xylanimonas cellulosilytica strain 352_XCEL, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/943/193/075/GCF_943193075.1_genomic.fna.gz	0.7874	0.6868	95.80	7.847	NA-NA	HIGH	NA-NA	5	5.521	2363/8935	95.80	3293	NZ_CALPCT010000001.1 Streptococcus caecimuris strain DSM 110150 NODE_1_length_176179_cov_45.772331, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCA/916/049/935/GCA_916049935.1_genomic.fna.gz	0.7805	0.3653	98.89	7.778	NA-NA	HIGH	NA-NA	5	5.473	3317/4685	98.89	9	CAJZJI010000001.1 MAG TPA_asm: uncultured Streptococcus sp. isolate ERR2764930_bin.5_metaWRAP_v1.1_MAG genome assembly, contig: ERZ1674141.147, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/005/696/555/GCF_005696555.1_genomic.fna.gz	0.7747	1.0108	98.29	7.721	NA-NA	HIGH	NA-NA	5	5.433	7731/13211	98.29	3057	NZ_CP040005.1 Actinomyces sp. oral taxon 171 str. F0337 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/001/553/855/GCF_001553855.1_genomic.fna.gz	0.7509	0.6854	97.00	7.484	NA-NA	HIGH	NA-NA	5	5.266	3603/9257	97.00	1597	NZ_LQWV01000001.1 Streptococcus gordonii strain CCUG 33482 contig_1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/001/278/845/GCF_001278845.1_genomic.fna.gz	0.7341	1.1863	98.89	7.316	NA-NA	HIGH	NA-NA	4	5.148	11067/15667	98.89	491	NZ_CP012590.1 Actinomyces sp. oral taxon 414 strain F0588 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/187/745/GCF_000187745.1_genomic.fna.gz	0.7111	0.6611	96.59	7.087	NA-NA	HIGH	NA-NA	4	4.987	3186/9331	96.59	2981	NZ_GL732486.1 Streptococcus sp. M334 supercont1.1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/025/150/565/GCF_025150565.1_genomic.fna.gz	0.6456	0.5345	97.93	6.434	NA-NA	HIGH	NA-NA	4	4.527	4319/8253	97.93	508	NZ_CP102283.1 Granulicatella adiacens ATCC 49175 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCA/958/349/165/GCA_958349165.1_genomic.fna.gz	0.6384	0.5615	96.57	6.363	NA-NA	HIGH	NA-NA	4	4.477	3035/8956	96.57	1084	CATWCG010000001.1 MAG TPA_asm: uncultured Actinomyces sp. isolate ERR10960912_bin.4_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ18534468.206, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCA/916/438/765/GCA_916438765.1_genomic.fna.gz	0.6274	0.4598	96.27	6.252	NA-NA	HIGH	NA-NA	4	4.399	2221/7219	96.27	1796	CAKAHB010000001.1 MAG TPA_asm: uncultured Granulicatella sp. isolate DRR214961_bin.31_metaWRAP_v1.1_MAG genome assembly, contig: BNJU01000113, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/011/612/265/GCF_011612265.2_genomic.fna.gz	0.6251	0.7548	98.86	6.230	NA-NA	HIGH	NA-NA	4	4.384	8600/12253	98.86	9	NZ_CP050134.2 Corynebacterium matruchotii strain ATCC 14266 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/030/825/805/GCF_030825805.1_genomic.fna.gz	0.6247	0.4538	97.38	6.226	NA-NA	HIGH	NA-NA	3	4.381	3203/7287	97.38	2047	NZ_JAPJPF010000040.1 MAG: Streptococcus sp. isolate RAGGC_127 NODE_1015_length_18231_cov_26.670169, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/144/405/GCF_000144405.1_genomic.fna.gz	0.5993	0.7999	97.65	5.973	NA-NA	HIGH	NA-NA	4	4.203	6456/13473	97.65	1121	NC_014370.1 Prevotella melaninogenica ATCC 25845 chromosome I, complete sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/002/094/975/GCF_002094975.1_genomic.fna.gz	0.5651	0.5538	96.63	5.632	NA-NA	HIGH	NA-NA	4	3.963	3363/9734	96.63	3306	NZ_CP015283.1 Streptococcus salivarius strain ATCC 25975 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/030/408/675/GCF_030408675.1_genomic.fna.gz	0.5629	0.6608	99.35	5.610	NA-NA	HIGH	NA-NA	4	3.947	9765/11952	99.35	1	NZ_CP047200.1 Corynebacterium durum strain DSM 45333 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/003/033/925/GCF_003033925.1_genomic.fna.gz	0.5539	0.7031	98.31	5.520	NA-NA	HIGH	NA-NA	3	3.884	7112/12066	98.31	4	NZ_CP028365.1 Tannerella serpentiformis strain W11666 chromosome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/900/323/545/GCF_900323545.1_genomic.fna.gz	0.5375	0.7130	98.12	5.356	NA-NA	HIGH	NA-NA	3	3.769	7445/13428	98.12	3275	NZ_OOHN01000006.1 Actinomyces sp. Marseille-P3109, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/001/808/705/GCF_001808705.1_genomic.fna.gz	0.5280	0.4738	96.39	5.262	NA-NA	HIGH	NA-NA	3	3.702	2883/9017	96.39	2603	NZ_KV794218.1 Streptococcus sp. HMSC074B11 Scaffold5, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/411/115/GCF_000411115.1_genomic.fna.gz	0.5208	0.6025	97.20	5.190	NA-NA	HIGH	NA-NA	3	3.652	4868/11735	97.20	288	NZ_KE150242.1 Capnocytophaga granulosa ATCC 51502 acFDk-supercont1.1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/001/937/445/GCF_001937445.1_genomic.fna.gz	0.5134	0.6983	96.10	5.116	NA-NA	HIGH	NA-NA	3	3.600	4087/14024	96.10	5085	NZ_MSKS01000001.1 Actinomyces oris strain WE8B-23 WE8B-23_contig001, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/024/584/435/GCF_024584435.1_genomic.fna.gz	0.4983	0.5016	98.73	4.966	NA-NA	HIGH	NA-NA	3	3.494	6841/10181	98.73	259	NZ_CP102197.1 Schaalia odontolytica strain KHUD_008 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCA/900/556/785/GCA_900556785.1_genomic.fna.gz	0.4884	0.3333	96.81	4.868	NA-NA	HIGH	NA-NA	3	3.425	2611/7141	96.81	2024	USQK01000001.1 uncultured Veillonella sp. isolate UMGS1979 genome assembly, contig: NODE_48_length_73937_cov_9.92165, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/426/605/GCF_000426605.1_genomic.fna.gz	0.4845	0.6212	99.45	4.828	NA-NA	HIGH	NA-NA	3	3.397	11008/13066	99.45	29	NZ_AUFR01000001.1 Propionibacterium acidifaciens DSM 21887 K336DRAFT_scaffold00001.1_C, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/188/295/GCF_000188295.1_genomic.fna.gz	0.4738	0.3738	97.35	4.722	NA-NA	HIGH	NA-NA	3	3.323	3479/8001	97.35	1874	NZ_GL831112.1 Streptococcus vestibularis ATCC 49124 SCAFFOLD1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/013/393/365/GCF_013393365.1_genomic.fna.gz	0.4727	0.4177	95.80	4.711	NA-NA	HIGH	NA-NA	3	3.315	2402/9087	95.80	3441	NZ_AP022321.1 Veillonella nakazawae strain T1-7 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/002/096/335/GCF_002096335.1_genomic.fna.gz	0.4659	0.3881	98.51	4.643	NA-NA	HIGH	NA-NA	3	3.267	5285/8414	98.51	698	NZ_NCUW01000030.1 Streptococcus oralis subsp. dentisani strain Y_5914_11 s_oralis_RS_5914_11_ID_1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/905/370/305/GCF_905370305.1_genomic.fna.gz	0.4246	0.3955	96.41	4.231	NA-NA	HIGH	NA-NA	3	2.977	3093/9603	96.41	1073	NZ_CAJPJX010000001.1 MAG: Actinomyces sp. ICM47 isolate DRR241310-mag-bin.5, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/019/973/735/GCF_019973735.1_genomic.fna.gz	0.3991	0.5576	99.07	3.978	NA-NA	HIGH	NA-NA	3	2.799	10485/14002	99.07	204	NZ_AP024463.1 Arachnia rubra strain SK-1 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/239/695/GCF_000239695.1_genomic.fna.gz	0.3275	0.3043	96.97	3.264	96.91-97.18	2.297	1.85-2.45	2	2.593	3264/9343	96.66	136	NZ_JH470338.1 Actinomyces graevenitzii C83 supercont1.1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/429/225/GCF_000429225.1_genomic.fna.gz	0.2406	0.3579	98.03	2.398	97.94-98.08	1.687	1.60-1.79	2	3.123	6661/14970	97.42	4285	NZ_AUBL01000001.1 Actinomyces dentalis DSM 19115 G446DRAFT_scaffold00001.1_C, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/003/892/345/GCF_003892345.1_genomic.fna.gz	0.2401	0.3871	99.07	2.393	99.01-99.12	1.684	1.62-1.76	2	2.571	9916/15996	98.47	4	NZ_RRUE01000001.1 Lautropia dentalis strain KCOM 2505 KCOM2505_1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/379/965/GCF_000379965.1_genomic.fna.gz	0.2157	0.2408	98.15	2.150	98.06-98.23	1.513	1.44-1.62	2	2.549	5018/11352	97.40	109	NZ_KB904327.1 Prevotella nanceiensis DSM 19126 = JCM 15639 strain DSM 19126 A3GMDRAFT_scaffold_0.1, whole genome shotgun sequence
